draft_pick,team,name,pos,age,ht,wt,college,college/yrs,meets,draft_value_score,draft_round,is_early_pick,age_normalized,college_years_numeric,college_years_normalized,age_experience_ratio,height_numeric,weight_numeric,bmi,position,position_tier,is_qb,is_defensive,meets_numeric,meets_normalized,college_frequency,college_frequency_normalized,scout_grade,position_avg_pick,pick_vs_position_avg,draft_predictability,pos_tier_LINE,pos_tier_OTHER,pos_tier_SKILL
61,MIA,Sean Smith,DB,22.0,2017.0,0,0,8,38.0,0.76171875,2,1,0.4,8,0.5333333333333333,2.75,2017.0,0,0.0,DB,OTHER,0,1,38.0,0.30158730158730157,444,1.0,68.50049603174602,129.9814814814815,-68.9814814814815,0.5307023792563044,False,True,False
62,TEN,Sen'Derrick Marks,DT,22.0,2016.0,0,0,4,27.0,0.7578125,2,1,0.4,4,0.26666666666666666,5.5,2016.0,0,0.0,DT,LINE,0,1,27.0,0.21428571428571427,444,1.0,66.59821428571429,118.3076923076923,-56.30769230769231,0.4759427828348505,True,False,False
63,ARI,Cody Brown,LB,22.0,2014.0,0,0,0,9.0,0.75390625,2,1,0.4,0,0.0,22.0,2014.0,0,0.0,LB,OTHER,0,0,9.0,0.07142857142857142,444,1.0,50.03125,117.67796610169492,-54.67796610169492,0.4646406452542129,False,True,False
64,DEN,Richard Quinn,TE,23.0,2011.0,0,0,0,0.0,0.75,2,1,0.6,0,0.0,23.0,2011.0,0,0.0,TE,SKILL,0,0,0.0,0.0,444,1.0,58.0,149.6578947368421,-85.65789473684211,0.5723580094953402,False,False,True
65,NYJ,Shonn Greene,RB,24.0,2014.0,0,0,2,23.0,0.74609375,3,0,0.8,2,0.13333333333333333,12.0,2014.0,0,0.0,RB,SKILL,0,0,23.0,0.18253968253968253,444,1.0,57.49454365079365,136.73684210526315,-71.73684210526315,0.5246343341031563,False,False,True
66,STL,Bradley Fletcher,DB,23.0,2015.0,0,0,3,24.0,0.7421875,3,0,0.6,3,0.2,7.666666666666667,2015.0,0,0.0,DB,OTHER,0,1,24.0,0.19047619047619047,444,1.0,61.49702380952381,129.9814814814815,-63.981481481481495,0.49223536116255884,False,True,False
67,KAN,Alex Magee,DE,22.0,2010.0,0,0,0,2.0,0.73828125,3,0,0.4,0,0.0,22.0,2010.0,0,0.0,DE,LINE,0,1,2.0,0.015873015873015872,444,1.0,61.848710317460316,119.0377358490566,-52.0377358490566,0.43715327310191787,True,False,False
68,CHI,Jarron Gilbert,DT,22.0,2010.0,0,0,0,0.0,0.734375,3,0,0.4,0,0.0,22.0,2010.0,0,0.0,DT,LINE,0,1,0.0,0.0,444,1.0,61.375,118.3076923076923,-50.30769230769231,0.42522756827048114,True,False,False
69,DAL,Jason Williams,LB,23.0,2014.0,0,0,0,4.0,0.73046875,3,0,0.6,0,0.0,23.0,2014.0,0,0.0,LB,OTHER,0,0,4.0,0.031746031746031744,444,1.0,57.85367063492063,117.67796610169492,-48.67796610169492,0.4136540400403284,False,True,False
70,CIN,Michael Johnson,DE,22.0,2018.0,0,0,8,54.0,0.7265625,3,0,0.4,8,0.5333333333333333,2.75,2018.0,0,0.0,DE,LINE,0,1,54.0,0.42857142857142855,444,1.0,69.63392857142857,119.0377358490566,-49.0377358490566,0.41195118085275,True,False,False
71,OAK,Matt Shaughnessy,DE,22.0,2014.0,0,0,3,22.0,0.72265625,3,0,0.4,3,0.2,7.333333333333333,2014.0,0,0.0,DE,LINE,0,1,22.0,0.1746031746031746,444,1.0,64.3983134920635,119.0377358490566,-48.0377358490566,0.40355048343636074,True,False,False
72,JAX,Terrance Knighton,DT,23.0,2015.0,0,0,6,37.0,0.71875,3,0,0.6,6,0.4,3.8333333333333335,2015.0,0,0.0,DT,LINE,0,1,37.0,0.29365079365079366,444,1.0,62.62301587301587,118.3076923076923,-46.30769230769231,0.3914174252275683,True,False,False
73,JAX,Derek Cox,DB,22.0,2013.0,0,0,4,20.0,0.71484375,3,0,0.4,4,0.26666666666666666,5.5,2013.0,0,0.0,DB,OTHER,0,1,20.0,0.15873015873015872,444,1.0,63.76835317460318,129.9814814814815,-56.981481481481495,0.43838153583131506,False,True,False
74,SFO,Glen Coffee,RB,22.0,2009.0,0,0,0,2.0,0.7109375,3,0,0.4,0,0.0,22.0,2009.0,0,0.0,RB,SKILL,0,0,2.0,0.015873015873015872,444,1.0,60.754960317460316,136.73684210526315,-62.73684210526315,0.45881447267128556,False,False,True
75,DAL,Robert Brewster,T,23.0,2010.0,0,0,0,0.0,0.70703125,3,0,0.6,0,0.0,23.0,2010.0,0,0.0,T,OTHER,0,0,0.0,0.0,444,1.0,56.28125,110.17073170731707,-35.170731707317074,0.3192384325880009,False,True,False
76,DET,DeAndre Levy,LB,22.0,2016.0,0,0,6,45.0,0.703125,3,0,0.4,6,0.4,3.6666666666666665,2016.0,0,0.0,LB,OTHER,0,0,45.0,0.35714285714285715,444,1.0,67.26785714285714,117.67796610169492,-41.67796610169492,0.3541696672907965,False,True,False
77,HOU,Antoine Caldwell,G,23.0,2012.0,0,0,0,11.0,0.69921875,3,0,0.6,0,0.0,23.0,2012.0,0,0.0,G,OTHER,0,0,11.0,0.0873015873015873,444,1.0,57.71478174603175,137.65217391304347,-60.65217391304347,0.4406190777005685,False,True,False
78,SDG,Louis Vasquez,G,22.0,2015.0,1,1,7,59.0,0.6953125,3,0,0.4,7,0.4666666666666667,3.142857142857143,2015.0,1,0.00017314311398998824,G,OTHER,0,0,59.0,0.46825396825396826,26,0.056433408577878104,50.30624753663693,137.65217391304347,-59.65217391304347,0.43335439039797846,False,True,False
79,PIT,Kraig Urbik,T,23.0,2016.0,0,0,4,27.0,0.69140625,3,0,0.6,4,0.26666666666666666,5.75,2016.0,0,0.0,T,OTHER,0,0,27.0,0.21428571428571427,444,1.0,59.941964285714285,110.17073170731707,-31.170731707317074,0.2829311489926943,False,True,False
